Household_ID,Family_Size,Monthly_Income,Is_GI_Beneficiary,Primary_Earner_Gender,Raw_Material_Access,Training_Access,Satisfaction_Score,Income_Per_Member,Income_Per_Adult,Economic_Vulnerability,High_Income_Low_Satisfaction,Income_Efficiency,Raw_Material_Score,Total_Resource_Score,Resource_Training_Balance,Resource_Adequate,Full_Resource_Access,Monthly_Income_Zscore,Family_Size_Zscore,Satisfaction_Score_Zscore,Income_Percentile,Satisfaction_Percentile,Income_Quartile,Income_Outlier_Low,Income_Outlier_High,Female_Earner,Male_Earner,GI_Training_Synergy,Female_Training_Access,Female_GI_Beneficiary,Large_Family_High_Income,Female_GI_Training,Income_Category,Family_Size_Category,Satisfaction_Level,High_Satisfaction,Large_Family,Above_Median_Income,Satisfaction_Efficiency,Resource_Utilization,Basic_Success_Index,Artisan_Success_Index,Performance_Category,Established_Artisan,Growth_Potential,High_Support_Need,Market_Readiness
17,8,9153.0,1,Male,Moderate,1,1,1144.125,1525.5,0,1,1017.0,2,3,2,1,0,0.3315328752692744,0.926462142025932,-1.445843258889043,0.616822429906542,0.10504201680672269,Q3_Medium_High,0,0,0,1,1,0,0,1,0,High,Large,Very_Low,0,1,1,0.25,2288.25,3,0.8,High_Performing,1,0,0,0.8999999999999999
18,7,8337.0,1,Female,Moderate,1,2,1191.0,1667.4,1,0,1042.125,2,3,2,1,0,-0.08477613936443167,0.40641971324722487,-0.7520716951479297,0.4953271028037383,0.2857142857142857,Q2_Medium_Low,0,0,1,0,1,1,1,0,1,High,Large,Low,0,1,0,0.5,2084.25,2,0.5,Average,0,0,0,0.8999999999999999
19,4,9435.0,0,Male,Difficult,0,2,2358.75,4717.5,0,1,1887.0,1,1,0,0,0,0.47540437297356986,-1.1537075730888966,-0.7520716951479297,0.6542056074766355,0.2857142857142857,Q3_Medium_High,0,0,0,1,0,0,0,0,0,High,Small,Low,0,0,1,1.0,4717.5,1,0.3,Underperforming,0,0,0,0.09999999999999999
20,6,9972.0,0,Male,Difficult,1,5,1662.0,2493.0,0,0,1424.5714285714287,1,2,1,0,0,0.7493724377508985,-0.1136227155314823,1.3292429960754104,0.7476635514018691,0.8907563025210085,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Medium,Very_High,1,0,1,1.6666666666666667,3324.0,3,0.75,Average,0,1,0,0.5
21,8,6940.0,0,Male,Moderate,0,2,867.5,1156.6666666666667,1,0,771.1111111111111,2,2,0,1,0,-0.7975012538782642,0.926462142025932,-0.7520716951479297,0.24299065420560748,0.2857142857142857,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Large,Low,0,1,0,0.6666666666666666,2313.3333333333335,0,0.0,Underperforming,0,0,1,0.19999999999999998
22,8,6812.0,1,Male,Moderate,1,4,851.5,1135.3333333333333,1,0,756.8888888888889,2,3,2,1,0,-0.8628046287227671,0.926462142025932,0.635471432334297,0.21495327102803738,0.680672268907563,Q1_Low,1,0,0,1,1,0,0,0,0,Medium,Large,High,1,1,0,1.0,1703.0,3,0.7,Average,0,0,0,0.8999999999999999
23,4,8198.0,1,Female,Easy,0,2,2049.5,4099.0,0,0,1639.6,3,3,0,1,0,-0.15569152298463404,-1.1537075730888966,-0.7520716951479297,0.42990654205607476,0.2857142857142857,Q2_Medium_Low,0,0,1,0,0,0,1,0,0,High,Small,Low,0,0,0,0.5,2049.5,1,0.25,Underperforming,0,0,0,0.6
24,6,6568.0,1,Female,Difficult,1,5,1094.6666666666667,1642.0,1,0,938.2857142857143,1,2,1,0,0,-0.9872891870201008,-0.1136227155314823,1.3292429960754104,0.17757009345794392,0.8907563025210085,Q1_Low,1,0,1,0,1,1,1,0,1,Medium,Medium,Very_High,1,0,0,1.6666666666666667,2189.3333333333335,3,0.7,Average,0,0,0,0.7999999999999999
25,7,8800.0,0,Female,Difficult,0,2,1257.142857142857,1760.0,0,1,1100.0,1,1,0,0,0,0.15143841183091872,0.40641971324722487,-0.7520716951479297,0.5327102803738317,0.2857142857142857,Q3_Medium_High,0,0,1,0,0,0,0,1,0,High,Large,Low,0,1,1,1.0,4400.0,1,0.3,Underperforming,0,0,0,0.09999999999999999
26,3,8273.0,1,Male,Easy,1,4,2757.6666666666665,8273.0,0,0,2068.25,3,4,3,1,1,-0.11742782678668312,-1.673750001867604,0.635471432334297,0.4766355140186916,0.680672268907563,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Small,High,1,0,0,0.8,1654.6,3,0.7,Average,0,0,0,1.0
27,6,13767.0,0,Female,Moderate,0,1,2294.5,3441.75,0,1,1966.7142857142858,2,2,0,1,0,2.685515465367215,-0.1136227155314823,-1.445843258889043,0.9906542056074766,0.10504201680672269,Q4_High,0,1,1,0,0,0,0,1,0,Very_High,Medium,Very_Low,0,0,1,0.3333333333333333,4589.0,1,0.3,Underperforming,0,0,0,0.19999999999999998
28,4,6449.0,1,Male,Easy,0,5,1612.25,3224.5,0,0,1289.8,3,3,0,1,0,-1.0480009183208496,-1.1537075730888966,1.3292429960754104,0.16822429906542055,0.8907563025210085,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Small,Very_High,1,0,0,1.25,1612.25,2,0.45,Average,0,0,1,0.6
29,8,6935.0,1,Male,Easy,1,1,866.875,1155.8333333333333,1,0,770.5555555555555,3,4,3,1,1,-0.8000521669581276,0.926462142025932,-1.445843258889043,0.2336448598130841,0.10504201680672269,Q1_Low,1,0,0,1,1,0,0,0,0,Medium,Large,Very_Low,0,1,0,0.2,1387.0,2,0.5,Average,0,0,0,1.0
30,7,,0,Male,Easy,0,1,,,0,0,,3,3,0,1,0,,0.40641971324722487,-1.445843258889043,,0.10504201680672269,,0,0,0,1,0,0,0,0,0,,Large,Very_Low,0,1,0,0.25,,0,0.0,Underperforming,0,0,0,0.3
31,6,10245.0,0,Female,Easy,1,1,1707.5,2561.25,0,1,1463.5714285714287,3,4,3,1,1,0.8886522919114398,-0.1136227155314823,-1.445843258889043,0.8130841121495327,0.10504201680672269,Q4_High,0,1,1,0,0,1,0,1,0,Very_High,Medium,Very_Low,0,0,1,0.2,2049.0,2,0.55,Average,0,0,0,0.7
32,3,,0,Female,Difficult,1,3,,,0,0,,1,2,1,0,0,,-1.673750001867604,-0.05830013140681635,,0.47478991596638653,,0,0,1,0,0,1,0,0,0,,Small,Medium,0,0,0,1.0,,1,0.25,Underperforming,0,0,0,0.5
33,3,11745.0,1,Male,Moderate,1,3,3915.0,11745.0,0,1,2936.25,2,3,2,1,0,1.6539262158704584,-1.673750001867604,-0.05830013140681635,0.9626168224299065,0.47478991596638653,Q4_High,0,1,0,1,1,0,0,0,0,Very_High,Small,Medium,0,0,1,0.75,2936.25,3,0.8,High_Performing,1,0,0,0.8999999999999999
34,5,10147.0,1,Female,Moderate,1,1,2029.4,3382.3333333333335,0,1,1691.1666666666667,2,3,2,1,0,0.8386543955461173,-0.6336651443101895,-1.445843258889043,0.7850467289719626,0.10504201680672269,Q4_High,0,1,1,0,1,1,1,0,1,Very_High,Medium,Very_Low,0,0,1,0.25,2536.75,3,0.8,High_Performing,1,0,0,0.8999999999999999
35,5,9086.0,1,Male,Difficult,1,5,1817.2,3028.6666666666665,0,0,1514.3333333333333,1,2,1,0,0,0.2973506399991049,-0.6336651443101895,1.3292429960754104,0.5981308411214953,0.8907563025210085,Q3_Medium_High,0,0,0,1,1,0,0,0,0,High,Medium,Very_High,1,0,1,1.6666666666666667,3028.6666666666665,4,1.0,High_Performing,1,0,0,0.7999999999999999
36,9,10293.0,0,Male,Difficult,1,4,1143.6666666666667,1470.4285714285713,0,0,1029.3,1,2,1,0,0,0.9131410574781285,1.4465045708046391,0.635471432334297,0.8411214953271028,0.680672268907563,Q4_High,0,1,0,1,0,0,0,1,0,Very_High,Very_Large,High,1,1,1,1.3333333333333333,3431.0,3,0.75,Average,0,1,0,0.5
37,4,7279.0,1,Male,Difficult,0,4,1819.75,3639.5,0,0,1455.8,1,1,0,0,0,-0.624549347063526,-1.1537075730888966,0.635471432334297,0.3177570093457944,0.680672268907563,Q2_Medium_Low,0,0,0,1,0,0,0,0,0,Medium,Small,High,1,0,0,2.0,3639.5,2,0.45,Average,0,0,0,0.39999999999999997
38,6,7867.0,1,Male,Easy,1,2,1311.1666666666667,1966.75,1,0,1123.857142857143,3,4,3,1,1,-0.3245619688715908,-0.1136227155314823,-0.7520716951479297,0.3644859813084112,0.2857142857142857,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,Medium,Medium,Low,0,0,0,0.4,1573.4,2,0.5,Average,0,0,0,1.0
39,6,5535.0,1,Male,Moderate,1,5,922.5,1383.75,1,0,790.7142857142857,2,3,2,1,0,-1.5143078293198782,-0.1136227155314823,1.3292429960754104,0.056074766355140186,0.8907563025210085,Q1_Low,1,0,0,1,1,0,0,0,0,Low,Medium,Very_High,1,0,0,1.25,1383.75,3,0.7,Average,0,0,0,0.8999999999999999
40,9,8042.0,1,Male,Easy,1,3,893.5555555555555,1148.857142857143,1,0,804.2,3,4,3,1,1,-0.23528001107637195,1.4465045708046391,-0.05830013140681635,0.40186915887850466,0.47478991596638653,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Very_Large,Medium,0,1,0,0.6,1608.4,2,0.5,Average,0,0,0,1.0
41,8,10425.0,1,Male,Moderate,1,1,1303.125,1737.5,0,1,1158.3333333333333,2,3,2,1,0,0.9804851627865221,0.926462142025932,-1.445843258889043,0.8691588785046729,0.10504201680672269,Q4_High,0,1,0,1,1,0,0,1,0,Very_High,Large,Very_Low,0,1,1,0.25,2606.25,3,0.8,High_Performing,1,0,0,0.8999999999999999
42,8,8080.0,1,Male,Easy,1,2,1010.0,1346.6666666666667,1,0,897.7777777777778,3,4,3,1,1,-0.21589307166941016,0.926462142025932,-0.7520716951479297,0.411214953271028,0.2857142857142857,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Large,Low,0,1,0,0.4,1616.0,2,0.5,Average,0,0,0,1.0
43,9,6951.0,1,Male,Moderate,0,4,772.3333333333334,993.0,1,0,695.1,2,2,0,1,0,-0.7918892451025648,1.4465045708046391,0.635471432334297,0.2523364485981308,0.680672268907563,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Very_Large,High,1,1,0,1.3333333333333333,2317.0,2,0.45,Average,0,0,1,0.5
44,8,7780.0,0,Male,Moderate,1,3,972.5,1296.6666666666667,1,0,864.4444444444445,2,3,2,1,0,-0.36894785646121386,0.926462142025932,-0.05830013140681635,0.35514018691588783,0.47478991596638653,Q2_Medium_Low,0,0,0,1,0,0,0,0,0,Medium,Large,Medium,0,1,0,0.75,1945.0,1,0.25,Underperforming,0,0,0,0.6
45,5,,0,Male,Easy,1,3,,,0,0,,3,4,3,1,1,,-0.6336651443101895,-0.05830013140681635,,0.47478991596638653,,0,0,0,1,0,0,0,0,0,,Medium,Medium,0,0,0,0.6,,1,0.25,Underperforming,0,0,0,0.7
46,6,7988.0,1,Male,Easy,1,1,1331.3333333333333,1997.0,1,0,1141.142857142857,3,4,3,1,1,-0.2628298723388966,-0.1136227155314823,-1.445843258889043,0.3925233644859813,0.10504201680672269,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,Medium,Medium,Very_Low,0,0,0,0.2,1597.6,2,0.5,Average,0,0,0,1.0
47,9,10199.0,1,Male,Moderate,1,4,1133.2222222222222,1457.0,0,0,1019.9,2,3,2,1,0,0.8651838915766966,1.4465045708046391,0.635471432334297,0.794392523364486,0.680672268907563,Q4_High,0,1,0,1,1,0,0,1,0,Very_High,Very_Large,High,1,1,1,1.0,2549.75,4,1.0,High_Performing,1,0,0,0.8999999999999999
48,6,,0,Male,Easy,0,5,,,0,0,,3,3,0,1,0,,-0.1136227155314823,1.3292429960754104,,0.8907563025210085,,0,0,0,1,0,0,0,0,0,,Medium,Very_High,1,0,0,1.25,,1,0.2,Underperforming,0,0,0,0.3
49,3,6759.0,1,Male,Moderate,1,3,2253.0,6759.0,0,0,1689.75,2,3,2,1,0,-0.8898443073693191,-1.673750001867604,-0.05830013140681635,0.19626168224299065,0.47478991596638653,Q1_Low,1,0,0,1,1,0,0,0,0,Medium,Small,Medium,0,0,0,0.75,1689.75,2,0.5,Average,0,0,0,0.8999999999999999
50,5,7486.0,1,Male,Easy,0,1,1497.2,2495.3333333333335,0,0,1247.6666666666667,3,3,0,1,0,-0.5189415455571815,-0.6336651443101895,-1.445843258889043,0.34579439252336447,0.10504201680672269,Q2_Medium_Low,0,0,0,1,0,0,0,0,0,Medium,Medium,Very_Low,0,0,0,0.25,1871.5,1,0.25,Underperforming,0,0,0,0.6
51,7,5880.0,1,Female,Easy,0,5,840.0,1176.0,1,0,735.0,3,3,0,1,0,-1.338294826809304,0.40641971324722487,1.3292429960754104,0.11214953271028037,0.8907563025210085,Q1_Low,1,0,1,0,0,0,1,0,0,Low,Large,Very_High,1,1,0,1.25,1470.0,2,0.45,Average,0,0,1,0.6
52,5,14387.0,1,Male,Moderate,1,4,2877.4,4795.666666666667,0,0,2397.8333333333335,2,3,2,1,0,3.001828687270276,-0.6336651443101895,0.635471432334297,1.0,0.680672268907563,Q4_High,0,1,0,1,1,0,0,0,0,Very_High,Medium,High,1,0,1,1.0,3596.75,4,1.0,High_Performing,1,0,0,0.8999999999999999
53,9,6307.0,0,Male,Moderate,0,3,700.7777777777778,901.0,1,0,630.7,2,2,0,1,0,-1.12044684978897,1.4465045708046391,-0.05830013140681635,0.14953271028037382,0.47478991596638653,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Very_Large,Medium,0,1,0,1.0,2102.3333333333335,0,0.0,Underperforming,0,0,1,0.19999999999999998
54,7,10329.0,1,Female,Easy,1,5,1475.5714285714287,2065.8,0,0,1291.125,3,4,3,1,1,0.9315076316531449,0.40641971324722487,1.3292429960754104,0.8504672897196262,0.8907563025210085,Q4_High,0,1,1,0,1,1,1,1,1,Very_High,Large,Very_High,1,1,1,1.0,2065.8,4,1.0,High_Performing,1,0,0,1.0
55,3,7167.0,0,Male,Easy,0,5,2389.0,7167.0,0,0,1791.75,3,3,0,1,0,-0.681689800052466,-1.673750001867604,1.3292429960754104,0.29906542056074764,0.8907563025210085,Q2_Medium_Low,0,0,0,1,0,0,0,0,0,Medium,Small,Very_High,1,0,0,1.25,1791.75,1,0.2,Underperforming,0,0,1,0.3
56,9,7472.0,1,Male,Easy,1,5,830.2222222222222,1067.4285714285713,1,0,747.2,3,4,3,1,1,-0.5260841021807989,1.4465045708046391,1.3292429960754104,0.3364485981308411,0.8907563025210085,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,Medium,Very_Large,Very_High,1,1,0,1.0,1494.4,3,0.7,Average,0,0,0,1.0
57,4,9102.0,1,Male,Difficult,0,3,2275.5,4551.0,0,1,1820.4,1,1,0,0,0,0.30551356185466777,-1.1537075730888966,-0.05830013140681635,0.6074766355140186,0.47478991596638653,Q3_Medium_High,0,0,0,1,0,0,0,0,0,High,Small,Medium,0,0,1,1.5,4551.0,2,0.55,Average,0,0,0,0.39999999999999997
58,6,5582.0,1,Male,Moderate,1,3,930.3333333333334,1395.5,1,0,797.4285714285714,2,3,2,1,0,-1.4903292463691622,-0.1136227155314823,-0.05830013140681635,0.06542056074766354,0.47478991596638653,Q1_Low,1,0,0,1,1,0,0,0,0,Low,Medium,Medium,0,0,0,0.75,1395.5,2,0.5,Average,0,0,0,0.8999999999999999
59,3,7174.0,1,Male,Moderate,1,2,2391.3333333333335,7174.0,0,0,1793.5,2,3,2,1,0,-0.6781185217406573,-1.673750001867604,-0.7520716951479297,0.308411214953271,0.2857142857142857,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,Medium,Small,Low,0,0,0,0.5,1793.5,2,0.5,Average,0,0,0,0.8999999999999999
60,6,8207.0,1,Male,Difficult,1,4,1367.8333333333333,2051.75,1,0,1172.4285714285713,1,2,1,0,0,-0.15109987944087994,-0.1136227155314823,0.635471432334297,0.4392523364485981,0.680672268907563,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Medium,High,1,0,0,1.3333333333333333,2735.6666666666665,3,0.7,Average,0,0,0,0.7999999999999999
61,8,6807.0,1,Male,Easy,0,1,850.875,1134.5,1,0,756.3333333333334,3,3,0,1,0,-0.8653555418026305,0.926462142025932,-1.445843258889043,0.205607476635514,0.10504201680672269,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Large,Very_Low,0,1,0,0.25,1701.75,1,0.25,Underperforming,0,0,1,0.6
62,4,6855.0,1,Male,Difficult,0,5,1713.75,3427.5,0,0,1371.0,1,1,0,0,0,-0.8408667762359419,-1.1537075730888966,1.3292429960754104,0.22429906542056074,0.8907563025210085,Q1_Low,1,0,0,1,0,0,0,0,0,Medium,Small,Very_High,1,0,0,2.5,3427.5,2,0.45,Average,0,0,1,0.39999999999999997
63,4,10673.0,0,Female,Moderate,0,2,2668.25,5336.5,0,1,2134.6,2,2,0,1,0,1.1070104515477464,-1.1537075730888966,-0.7520716951479297,0.9065420560747663,0.2857142857142857,Q4_High,0,1,1,0,0,0,0,0,0,Very_High,Small,Low,0,0,1,0.6666666666666666,3557.6666666666665,1,0.3,Underperforming,0,0,0,0.19999999999999998
64,3,10509.0,1,Male,Easy,1,1,3503.0,10509.0,0,1,2627.25,3,4,3,1,1,1.0233405025282272,-1.673750001867604,-1.445843258889043,0.8878504672897196,0.10504201680672269,Q4_High,0,1,0,1,1,0,0,0,0,Very_High,Small,Very_Low,0,0,1,0.2,2101.8,3,0.8,High_Performing,1,0,0,1.0
65,4,,1,Male,Moderate,0,2,,,0,0,,2,2,0,1,0,,-1.1537075730888966,-0.7520716951479297,,0.2857142857142857,,0,0,0,1,0,0,0,0,0,,Small,Low,0,0,0,0.6666666666666666,,1,0.25,Underperforming,0,0,0,0.5
66,7,8331.0,1,Male,Difficult,1,3,1190.142857142857,1666.2,1,0,1041.375,1,2,1,0,0,-0.08783723506026773,0.40641971324722487,-0.05830013140681635,0.48598130841121495,0.47478991596638653,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,High,Large,Medium,0,1,0,1.0,2777.0,2,0.5,Average,0,0,0,0.7999999999999999
67,4,10974.0,1,Male,Moderate,1,5,2743.5,5487.0,0,0,2194.8,2,3,2,1,0,1.2605754189555227,-1.1537075730888966,1.3292429960754104,0.9252336448598131,0.8907563025210085,Q4_High,0,1,0,1,1,0,0,0,0,Very_High,Small,Very_High,1,0,1,1.25,2743.5,4,1.0,High_Performing,1,0,0,0.8999999999999999
68,6,5647.0,0,Male,Difficult,1,1,941.1666666666666,1411.75,1,0,806.7142857142857,1,2,1,0,0,-1.457167376330938,-0.1136227155314823,-1.445843258889043,0.08411214953271028,0.10504201680672269,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Medium,Very_Low,0,0,0,0.3333333333333333,1882.3333333333333,1,0.25,Underperforming,0,0,0,0.5
69,6,9176.0,1,Male,Moderate,0,1,1529.3333333333333,2294.0,0,1,1310.857142857143,2,2,0,1,0,0.34326707543664603,-0.1136227155314823,-1.445843258889043,0.6261682242990654,0.10504201680672269,Q3_Medium_High,0,0,0,1,0,0,0,1,0,High,Medium,Very_Low,0,0,1,0.3333333333333333,3058.6666666666665,2,0.55,Average,0,0,0,0.5
70,9,12449.0,1,Male,Difficult,1,1,1383.2222222222222,1778.4285714285713,0,1,1244.9,1,2,1,0,0,2.0130947775152244,1.4465045708046391,-1.445843258889043,0.9813084112149533,0.10504201680672269,Q4_High,0,1,0,1,1,0,0,1,0,Very_High,Very_Large,Very_Low,0,1,1,0.3333333333333333,4149.666666666667,3,0.8,High_Performing,1,0,0,0.7999999999999999
71,6,,1,Male,Moderate,0,1,,,0,0,,2,2,0,1,0,,-0.1136227155314823,-1.445843258889043,,0.10504201680672269,,0,0,0,1,0,0,0,0,0,,Medium,Very_Low,0,0,0,0.3333333333333333,,1,0.25,Underperforming,0,0,0,0.5
72,9,4620.0,0,Male,Difficult,0,1,513.3333333333334,660.0,1,0,462.0,1,1,0,0,0,-1.9811249229348795,1.4465045708046391,-1.445843258889043,0.009345794392523364,0.10504201680672269,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Very_Large,Very_Low,0,1,0,0.5,2310.0,0,0.0,Underperforming,0,0,1,0.09999999999999999
73,6,6974.0,1,Male,Moderate,1,2,1162.3333333333333,1743.5,1,0,996.2857142857143,2,3,2,1,0,-0.7801550449351932,-0.1136227155314823,-0.7520716951479297,0.2616822429906542,0.2857142857142857,Q2_Medium_Low,0,0,0,1,1,0,0,0,0,Medium,Medium,Low,0,0,0,0.5,1743.5,2,0.5,Average,0,0,0,0.8999999999999999
74,7,8837.0,1,Male,Easy,1,5,1262.4285714285713,1767.4,0,0,1104.625,3,4,3,1,1,0.17031516862190782,0.40641971324722487,1.3292429960754104,0.5607476635514018,0.8907563025210085,Q3_Medium_High,0,0,0,1,1,0,0,1,0,High,Large,Very_High,1,1,1,1.0,1767.4,4,1.0,High_Performing,1,0,0,1.0
75,9,5856.0,0,Male,Easy,1,3,650.6666666666666,836.5714285714286,1,0,585.6,3,4,3,1,1,-1.3505392095926483,1.4465045708046391,-0.05830013140681635,0.102803738317757,0.47478991596638653,Q1_Low,1,0,0,1,0,0,0,0,0,Low,Very_Large,Medium,0,1,0,0.6,1171.2,1,0.25,Underperforming,0,0,0,0.7
